Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	End Date	End Clock Time	Species	Signal Type	annotator
1	CESCAB_20240802_044022.flac	CESCAB_20240802_044022.flac	4770.159568977	4778.236491942	2024-08-02 04:40:22	8.0769	7698.113	120000	33281.25	2024-08-02	04:40:30	Delphinidae	clicks	GJ
2	CESCAB_20240802_094022.flac	CESCAB_20240802_094752.flac	5971.036056779	6029.566954747	2024-08-02 09:40:23	58.5309	1914.894	115018.868	2343.75	2024-08-02	09:48:21	Grampus griseus	clicks	GJ
3	CESCAB_20240802_105522.flac	CESCAB_20240802_111752.flac	6270.480959151	6387.596641929	2024-08-02 10:55:22	117.1157	15982.5	120000	46406.25	2024-08-02	11:18:19	Grampus griseus	clicks	GJ
4	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8070.177094235	8072.780399899	2024-08-02 18:25:22	2.6033	2290.076	17862.595	2343.75	2024-08-02	18:25:24	Delphinidae	whistles	GJ
5	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8088.453362574	8090.31286662	2024-08-02 18:25:40	1.8595	3206.107	21526.718	3281.25	2024-08-02	18:25:42	Delphinidae	whistles	GJ
6	CESCAB_20240802_210252.flac	CESCAB_20240802_213252.flac	8701.398874333	8848.433280134	2024-08-02 21:02:53	147.0344	13900.7	119432.6	21562.5	2024-08-02	21:33:20	Delphinidae	clicks	GJ
7	CESCAB_20240802_223252.flac	CESCAB_20240802_223252.flac	9063.094084	9089.832731967	2024-08-02 22:32:55	26.7386	6952.141	120000	51093.75	2024-08-02	22:33:21	Delphinidae	clicks	GJ
8	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12083.427314158	12085.303297946	2024-08-03 11:03:15	1.876	5440.806	18740.554	5625	2024-08-03	11:03:17	Delphinidae	whistles	GJ
9	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12086.671202791	12088.547186578	2024-08-03 11:03:18	1.876	4231.738	17531.486	4687.5	2024-08-03	11:03:20	Delphinidae	whistles	GJ
10	CESCAB_20240803_111752.flac	CESCAB_20240803_111752.flac	12143.69132137	12145.567305158	2024-08-03 11:18:15	1.876	4231.738	17531.486	4687.5	2024-08-03	11:18:17	Delphinidae	whistles	GJ
11	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12151.027477393	12152.90346118	2024-08-03 11:25:23	1.876	4231.738	17531.486	5625	2024-08-03	11:25:24	Delphinidae	whistles	GJ
12	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12153.646038096	12155.522021883	2024-08-03 11:25:25	1.876	4231.738	17531.486	5625	2024-08-03	11:25:27	Delphinidae	whistles	GJ
13	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12155.561104879	12157.437088666	2024-08-03 11:25:27	1.876	4231.738	17531.486	5625	2024-08-03	11:25:29	Delphinidae	whistles	GJ
14	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12160.680977298	12162.556961085	2024-08-03 11:25:32	1.876	4231.738	17531.486	5625	2024-08-03	11:25:34	Delphinidae	whistles	GJ
15	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12163.143206019	12165.019189806	2024-08-03 11:25:35	1.876	4231.738	17531.486	5625	2024-08-03	11:25:37	Delphinidae	whistles	GJ
16	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12165.214604784	12167.090588571	2024-08-03 11:25:37	1.876	3929.471	17229.219	5625	2024-08-03	11:25:39	Delphinidae	whistles	GJ
17	CESCAB_20240803_112522.flac	CESCAB_20240803_112522.flac	12167.442335532	12169.318319319	2024-08-03 11:25:39	1.876	4231.738	17531.486	5625	2024-08-03	11:25:41	Delphinidae	whistles	GJ
