Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	End Date	End Clock Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Species	Signal Type	annotator
1	CESCAB_20240802_182522.flac	CESCAB_20240802_182522.flac	8070.316800117	8090.866400003	2024/8/2  18:25:22.3168	2024/8/2	18:25:42.8664	20.5496	9660.759	14400	11250	Delphinidae	whistles	MC
2	CESCAB_20240802_211752.flac	CESCAB_20240802_212522.flac	8761.468800068	8819.358200073	2024/8/2  21:17:53.4688	2024/8/2	21:25:51.3582	57.8894	18956.962	34450.633	21562.5	Delphinidae	clicks	MC
3	CESCAB_20240802_212522.flac	CESCAB_20240802_213252.flac	8819.923500061	8838.409699917	2024/8/2  21:25:51.9235	2024/8/2	21:33:10.4097	18.4862	21691.139	34906.329	33281.25	Delphinidae	clicks	MC
4	CESCAB_20240802_223252.flac	CESCAB_20240802_223252.flac	9060.193000078	9089.54369998	2024/8/2  22:32:52.1930	2024/8/2	22:33:21.5437	29.3507	16222.785	34724.051	31875	Delphinidae	clicks	MC
5	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12083.810100079	12084.929399967	2024/8/3  11:03:15.8101	2024/8/3	11:03:16.9294	1.1193	8861.284	16066.253	10781.25	Delphinidae	whistles	MC
6	CESCAB_20240803_110252.flac	CESCAB_20240803_110252.flac	12086.768199921	12088.327199936	2024/8/3  11:03:18.7682	2024/8/3	11:03:20.3272	1.559	5714.286	16728.778	6093.75	Delphinidae	whistles	MC
7	CESCAB_20240803_111752.flac	CESCAB_20240803_113252.flac	12143.49729991	12209.756400108	2024/8/3  11:18:15.4973	2024/8/3	11:33:21.7564	66.2591	4223.602	15900.621	5625	Delphinidae	whistles	MC
8	CESCAB_20240803_142522.flac	CESCAB_20240803_142522.flac	12875.832999945	12898.518599987	2024/8/3  14:25:27.8330	2024/8/3	14:25:50.5186	22.6856	25529.807	54420.946	25781.25	Delphinidae	clicks	MC
9	CESCAB_20240803_144022.flac	CESCAB_20240803_144022.flac	12938.610899925	12947.685100079	2024/8/3  14:40:30.6109	2024/8/3	14:40:39.6851	9.0742	17589.873	33356.962	33281.25	Delphinidae	clicks	MC
10	CESCAB_20240803_182522.flac	CESCAB_20240803_182522.flac	13830.223799944	13838.470999956	2024/8/3  18:25:22.2238	2024/8/3	18:25:30.4710	8.2472	21600	35088.608	30937.5	Delphinidae	clicks	MC
11	CESCAB_20240803_182522.flac	CESCAB_20240803_184752.flac	13838.753599882	13928.470999956	2024/8/3  18:25:30.7536	2024/8/3	18:48:00.4710	89.7174	18683.544	33812.658	32343.75	Delphinidae	clicks	MC
12	CESCAB_20240803_185522.flac	CESCAB_20240803_191022.flac	13950.407299995	14013.686199904	2024/8/3  18:55:22.4073	2024/8/3	19:10:25.6862	63.2789	11027.848	34815.19	21093.75	Delphinidae	clicks	MC
13	CESCAB_20240803_185522.flac	CESCAB_20240803_185522.flac	13954.365999937	13956.570800066	2024/8/3  18:55:26.3660	2024/8/3	18:55:28.5708	2.2048	8632.479	17008.547	16875	Delphinidae	whistles	MC
14	CESCAB_20240803_190252.flac	CESCAB_20240803_190252.flac	13992.021100044	13995.978600025	2024/8/3  19:03:04.0211	2024/8/3	19:03:07.9786	3.9575	3675.214	19145.299	17812.5	Delphinidae	whistles	MC
15	CESCAB_20240803_191022.flac	CESCAB_20240803_191752.flac	14018.753599882	14068.050100088	2024/8/3  19:10:30.7536	2024/8/3	19:18:20.0501	49.2965	10845.57	33174.684	31406.25	Delphinidae	clicks	MC
16	CESCAB_20240803_191022.flac	CESCAB_20240803_191022.flac	14026.998899937	14031.196199894	2024/8/3  19:10:38.9989	2024/8/3	19:10:43.1962	4.1973	4786.325	19743.59	19218.75	Delphinidae	whistles	MC
17	CESCAB_20240803_201752.flac	CESCAB_20240803_203252.flac	14289.092799902	14369.369199991	2024/8/3  20:18:01.0928	2024/8/3	20:33:21.3692	80.2764	23605.063	34359.494	28593.75	Delphinidae	clicks	MC
18	CESCAB_20240803_204022.flac	CESCAB_20240803_204022.flac	14384.260299921	14393.460999966	2024/8/3  20:40:36.2603	2024/8/3	20:40:45.4610	9.2007	5982.906	16923.077	6093.75	Delphinidae	whistles	MC
19	CESCAB_20240803_205522.flac	CESCAB_20240803_205522.flac	14439.621000052	14443.818300009	2024/8/3  20:55:31.6210	2024/8/3	20:55:35.8183	4.1973	4358.974	16581.197	7031.25	Delphinidae	whistles	MC
20	CESCAB_20240804_161752.flac	CESCAB_20240804_161752.flac	19080.434099913	19103.313899994	2024/8/4  16:17:52.4341	2024/8/4	16:18:15.3139	22.8798	4010.127	20506.329	12656.25	Physeter macrocephalus	clicks	MC
21	CESCAB_20240804_181022.flac	CESCAB_20240804_182522.flac	19530.213099957	19598.156300068	2024/8/4  18:10:22.2131	2024/8/4	18:25:30.1563	67.9432	3372.152	19412.658	11718.75	Physeter macrocephalus	clicks	MC
22	CESCAB_20240804_185522.flac	CESCAB_20240804_185522.flac	19713.165499926	19738.829200029	2024/8/4  18:55:25.1655	2024/8/4	18:55:50.8292	25.6637	2096.203	14491.139	3281.25	Physeter macrocephalus	clicks	MC
23	CESCAB_20240804_191022.flac	CESCAB_20240804_192522.flac	19779.714699984	19859.320499897	2024/8/4  19:10:31.7147	2024/8/4	19:25:51.3205	79.6058	2369.62	11483.544	4218.75	Physeter macrocephalus	clicks	MC
24	CESCAB_20240804_211022.flac	CESCAB_20240804_211752.flac	20276.579200029	20297.418600082	2024/8/4  21:10:48.5792	2024/8/4	21:18:09.4186	20.8394	2096.203	17225.316	2343.75	Physeter macrocephalus	clicks	MC
25	CESCAB_20240804_212522.flac	CESCAB_20240804_212522.flac	20311.028800011	20315.695899963	2024/8/4  21:25:23.0288	2024/8/4	21:25:27.6959	4.6671	3247.863	18803.419	3750	Delphinidae	whistles	MC
26	CESCAB_20240804_221022.flac	CESCAB_20240804_221022.flac	20509.95449996	20519.778000116	2024/8/4  22:10:41.9545	2024/8/4	22:10:51.7780	9.8235	4183.673	12244.898	4218.75	Physeter macrocephalus	clicks	MC
27	CESCAB_20240805_002522.flac	CESCAB_20240805_002522.flac	21041.24029994	21056.426399946	2024/8/5  0:25:33.2403	2024/8/5	0:25:48.4264	15.1861	4017.094	20085.47	4218.75	Delphinidae	whistles	MC
28	CESCAB_20240805_014022.flac	CESCAB_20240805_014022.flac	21330.227999926	21353.669699907	2024/8/5  1:40:22.2280	2024/8/5	1:40:45.6697	23.4417	16750.741	42158.905	22031.25	Delphinidae	clicks	MC
29	CESCAB_20240805_023252.flac	CESCAB_20240805_023252.flac	21545.618599892	21550.621700048	2024/8/5  2:32:57.6186	2024/8/5	2:33:02.6217	5.0031	2735.043	17692.308	5156.25	Delphinidae	whistles	MC
30	CESCAB_20240805_024022.flac	CESCAB_20240805_051752.flac	21589.07949996	22228.576299906	2024/8/5  2:40:41.0795	2024/8/5	5:18:20.5763	639.4968	16122.449	37551.02	16406.25	Delphinidae	clicks	MC
31	CESCAB_20240805_031022.flac	CESCAB_20240805_031022.flac	21699.358500004	21706.255500078	2024/8/5  3:10:31.3585	2024/8/5	3:10:38.2555	6.897	5213.675	17094.017	5625	Delphinidae	whistles	MC
32	CESCAB_20240805_034022.flac	CESCAB_20240805_034022.flac	21833.244100094	21837.501399994	2024/8/5  3:40:45.2441	2024/8/5	3:40:49.5014	4.2573	7435.897	21025.641	20156.25	Delphinidae	whistles	MC
33	CESCAB_20240805_043252.flac	CESCAB_20240805_043252.flac	22034.517800093	22041.553299904	2024/8/5  4:33:06.5178	2024/8/5	4:33:13.5533	7.0355	5982.906	19230.769	19218.75	Delphinidae	whistles	MC
34	CESCAB_20240805_044752.flac	CESCAB_20240805_045522.flac	22097.335400105	22123.566600084	2024/8/5  4:48:09.3354	2024/8/5	4:55:35.5666	26.2312	6410.256	19316.239	9375	Delphinidae	whistles	MC
35	CESCAB_20240805_070252.flac	CESCAB_20240805_070252.flac	22621.699599981	22649.042200089	2024/8/5  7:02:53.6996	2024/8/5	7:03:21.0422	27.3426	2991.453	18547.009	5156.25	Delphinidae	whistles	MC
36	CESCAB_20240805_073252.flac	CESCAB_20240805_073252.flac	22746.584700108	22752.237999916	2024/8/5  7:32:58.5847	2024/8/5	7:33:04.2380	5.6533	6239.316	16752.137	9843.75	Delphinidae	whistles	MC
37	CESCAB_20240805_074022.flac	CESCAB_20240805_074022.flac	22786.977499962	22791.654500008	2024/8/5  7:40:38.9775	2024/8/5	7:40:43.6545	4.677	3846.154	22735.043	6093.75	Delphinidae	whistles	MC
38	CESCAB_20240805_074752.flac	CESCAB_20240805_074752.flac	22802.975800037	22828.239799976	2024/8/5  7:47:54.9758	2024/8/5	7:48:20.2398	25.264	2991.453	22051.282	7031.25	Delphinidae	whistles	MC
39	CESCAB_20240805_075522.flac	CESCAB_20240805_075522.flac	22830.370199919	22858.825000048	2024/8/5  7:55:22.3702	2024/8/5	7:55:50.8250	28.4548	4615.385	21538.462	7500	Delphinidae	whistles	MC
40	CESCAB_20240805_082522.flac	CESCAB_20240805_082522.flac	22976.423199892	22978.8822999	2024/8/5  8:25:48.4232	2024/8/5	8:25:50.8823	2.4591	4188.034	19572.65	4218.75	Delphinidae	whistles	MC
41	CESCAB_20240805_094022.flac	CESCAB_20240805_094022.flac	23250.966799974	23268.055900097	2024/8/5  9:40:22.9668	2024/8/5	9:40:40.0559	17.0891	4017.094	21538.462	4218.75	Delphinidae	whistles	MC
42	CESCAB_20240806_000252.flac	CESCAB_20240806_000252.flac	26702.057100058	26728.799999952	2024/8/6  0:02:54.0571	2024/8/6	0:03:20.8000	26.7429	15428.571	42685.714	17343.75	Delphinidae	clicks	MC
43	CESCAB_20240806_004752.flac	CESCAB_20240806_005522.flac	26880.881599903	26939.877500057	2024/8/6  0:47:52.8816	2024/8/6	0:55:51.8775	58.9959	0	23108.108	937.5	Physeter macrocephalus	clicks	MC
44	CESCAB_20240806_024752.flac	CESCAB_20240806_025522.flac	27360.416300058	27392.485699892	2024/8/6  2:47:52.4163	2024/8/6	2:55:24.4857	32.0694	2777.778	29722.222	4687.5	Physeter macrocephalus	clicks	MC
45	CESCAB_20240806_030252.flac	CESCAB_20240806_031022.flac	27429.514300108	27472.971400022	2024/8/6  3:03:01.5143	2024/8/6	3:10:44.9714	43.4571	7777.778	27222.222	10312.5	Physeter macrocephalus	clicks	MC
46	CESCAB_20240806_042522.flac	CESCAB_20240806_043252.flac	27753.257100105	27797.338799954	2024/8/6  4:25:25.2571	2024/8/6	4:33:09.3388	44.0817	1944.444	23055.556	15468.75	Physeter macrocephalus	clicks	MC
47	CESCAB_20240806_044022.flac	CESCAB_20240806_045522.flac	27834.514300108	27877.824500084	2024/8/6  4:40:46.5143	2024/8/6	4:55:29.8245	43.3102	3611.111	32777.778	13125	Physeter macrocephalus	clicks	MC
48	CESCAB_20240806_051752.flac	CESCAB_20240806_054022.flac	27975.761300087	28062.82159996	2024/8/6  5:18:07.7613	2024/8/6	5:40:34.8216	87.0603	1944.444	35000	2343.75	Physeter macrocephalus	clicks	MC
49	CESCAB_20240806_060252.flac	CESCAB_20240806_061752.flac	28158.587800026	28202.375499964	2024/8/6  6:03:10.5878	2024/8/6	6:17:54.3755	43.7877	0	30833.333	937.5	Physeter macrocephalus	clicks	MC
50	CESCAB_20240806_062522.flac	CESCAB_20240806_063252.flac	28239.514300108	28283.191800117	2024/8/6  6:25:31.5143	2024/8/6	6:33:15.1918	43.6775	0	27500	0	Physeter macrocephalus	clicks	MC
51	CESCAB_20240806_065522.flac	CESCAB_20240806_070252.flac	28364.338799954	28401.293900013	2024/8/6  6:55:36.3388	2024/8/6	7:03:13.2939	36.9551	4444.444	23611.111	5156.25	Physeter macrocephalus	clicks	MC
52	CESCAB_20240806_070252.flac	CESCAB_20240806_071022.flac	28401.440799952	28436.448999882	2024/8/6  7:03:13.4408	2024/8/6	7:10:48.4490	35.0082	2500	19722.222	6562.5	Physeter macrocephalus	clicks	MC
53	CESCAB_20240806_070252.flac	CESCAB_20240806_071022.flac	28406.914299965	28410.367300034	2024/8/6  7:03:18.9143	2024/8/6	7:10:22.3673	3.453	3888.889	10277.778	9843.75	Delphinidae	whistles	MC
54	CESCAB_20240806_071022.flac	CESCAB_20240806_071022.flac	28425.612200022	28426.861200094	2024/8/6  7:10:37.6122	2024/8/6	7:10:38.8612	1.249	4444.444	10277.778	7500	Delphinidae	whistles	MC
55	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28892.844500065	28919.703000069	2024/8/6  9:10:24.8445	2024/8/6	9:10:51.7030	26.8585	2777.778	32777.778	14531.25	Delphinidae	whistles	MC
56	CESCAB_20240806_123252.flac	CESCAB_20240806_125522.flac	29725.506099939	29803.934700012	2024/8/6  12:33:17.5061	2024/8/6	12:55:35.9347	78.4286	0	17777.778	468.75	Physeter macrocephalus	clicks	MC
57	CESCAB_20240806_130252.flac	CESCAB_20240806_130252.flac	29826.416300058	29839.787800074	2024/8/6  13:02:58.4163	2024/8/6	13:03:11.7878	13.3715	8055.556	21388.889	16406.25	Delphinidae	whistles	MC
58	CESCAB_20240806_150252.flac	CESCAB_20240806_150252.flac	30305.66140008	30324.653199911	2024/8/6  15:02:57.6614	2024/8/6	15:03:16.6532	18.9918	3432.203	16207.627	4218.75	Delphinidae	whistles	MC
59	CESCAB_20240806_151022.flac	CESCAB_20240806_151022.flac	30349.151000023	30359.987799883	2024/8/6  15:10:41.1510	2024/8/6	15:10:51.9878	10.8368	5529.661	13347.458	6093.75	Delphinidae	whistles	MC
60	CESCAB_20240806_155522.flac	CESCAB_20240806_155522.flac	30534.931900024	30536.952300072	2024/8/6  15:55:46.9319	2024/8/6	15:55:48.9523	2.0204	7055.085	15444.915	8437.5	Delphinidae	whistles	MC
61	CESCAB_20240806_161022.flac	CESCAB_20240806_161022.flac	30570.172899962	30579.981100082	2024/8/6  16:10:22.1729	2024/8/6	16:10:31.9811	9.8082	6673.729	15063.559	7031.25	Delphinidae	whistles	MC
